report_date,new_positive,issue_date
2021-12-27,86634,2021-12-28
2021-12-26,0,2021-12-28
2021-12-25,0,2021-12-28
2021-12-24,0,2021-12-28
2021-12-23,20401,2021-12-28
2021-12-22,15485,2021-12-28
2021-12-21,10903,2021-12-28
2021-12-20,7766,2021-12-28
2021-12-19,26273,2021-12-28
2021-12-18,0,2021-12-28
2021-12-17,0,2021-12-28
2021-12-16,7293,2021-12-28
2021-12-15,5494,2021-12-28
2021-12-14,4416,2021-12-28
2021-12-13,5476,2021-12-28
2021-12-12,18905,2021-12-28
2021-12-11,0,2021-12-28
2021-12-10,0,2021-12-28
2021-12-09,6252,2021-12-28
2021-12-08,5251,2021-12-28
2021-12-07,4672,2021-12-28
2021-12-06,6134,2021-12-28
2021-12-05,22406,2021-12-28
2021-12-04,0,2021-12-28
2021-12-03,0,2021-12-28
2021-12-02,7612,2021-12-28
2021-12-01,5113,2021-12-28
2021-11-30,3654,2021-12-28
2021-11-29,4667,2021-12-28
2021-11-28,20976,2021-12-28
2021-11-27,0,2021-12-28
2021-11-26,0,2021-12-28
2021-11-25,0,2021-12-28
2021-11-24,0,2021-12-28
2021-11-23,3063,2021-12-28
2021-11-22,4163,2021-12-28
2021-11-21,15344,2021-12-28
2021-11-20,0,2021-12-28
2021-11-19,0,2021-12-28
2021-11-18,5327,2021-12-28
2021-11-17,4541,2021-12-28
2021-11-16,3912,2021-12-28
2021-11-15,4515,2021-12-28
2021-11-14,8410,2021-12-28
2021-11-13,0,2021-12-28
2021-11-12,11996,2021-12-28
2021-11-11,0,2021-12-28
2021-11-10,4757,2021-12-28
2021-11-09,3716,2021-12-28
2021-11-08,3945,2021-12-28
2021-11-07,18893,2021-12-28
2021-11-06,0,2021-12-28
2021-11-05,0,2021-12-28
2021-11-04,8012,2021-12-28
2021-11-03,5608,2021-12-28
2021-11-02,3518,2021-12-28
2021-11-01,4209,2021-12-28
2021-10-31,19351,2021-12-28
2021-10-30,0,2021-12-28
2021-10-29,0,2021-12-28
2021-10-28,7098,2021-12-28
2021-10-27,4949,2021-12-28
2021-10-26,4378,2021-12-28
2021-10-25,24563,2021-12-28
2021-10-24,0,2021-12-28
2021-10-23,0,2021-12-28
2021-10-22,0,2021-12-28
2021-10-21,6093,2021-12-28
2021-10-20,5124,2021-12-28
2021-10-19,3070,2021-12-28
2021-10-18,4081,2021-12-28
2021-10-17,16764,2021-12-28
2021-10-16,0,2021-12-28
2021-10-15,0,2021-12-28
2021-10-14,6188,2021-12-28
2021-10-13,3960,2021-12-28
2021-10-12,4034,2021-12-28
2021-10-11,4091,2021-12-28
2021-10-10,16921,2021-12-28
2021-10-09,0,2021-12-28
2021-10-08,0,2021-12-28
2021-10-07,6710,2021-12-28
2021-10-06,4710,2021-12-28
2021-10-05,5386,2021-12-28
2021-10-04,3752,2021-12-28
2021-10-03,18998,2021-12-28
2021-10-02,0,2021-12-28
2021-10-01,0,2021-12-28
2021-09-30,7869,2021-12-28
2021-09-29,5967,2021-12-28
2021-09-28,6493,2021-12-28
2021-09-27,4753,2021-12-28
2021-09-26,22969,2021-12-28
2021-09-25,0,2021-12-28
2021-09-24,0,2021-12-28
2021-09-23,7276,2021-12-28
2021-09-22,6694,2021-12-28
2021-09-21,6579,2021-12-28
2021-09-20,6032,2021-12-28
2021-09-19,6193,2021-12-28
2021-09-18,9038,2021-12-28
2021-09-17,9385,2021-12-28
2021-09-16,9543,2021-12-28
2021-09-15,7360,2021-12-28
2021-09-14,7760,2021-12-28
2021-09-13,11851,2021-12-28
2021-09-12,6842,2021-12-28
2021-09-11,9045,2021-12-28
2021-09-10,13463,2021-12-28
2021-09-09,9244,2021-12-28
2021-09-08,7127,2021-12-28
2021-09-07,7274,2021-12-28
2021-09-06,7523,2021-12-28
2021-09-05,8866,2021-12-28
2021-09-04,14267,2021-12-28
2021-09-03,9318,2021-12-28
2021-09-02,11742,2021-12-28
2021-09-01,10194,2021-12-28
2021-08-31,23387,2021-12-28
2021-08-30,9606,2021-12-28
2021-08-29,14968,2021-12-28
2021-08-28,11828,2021-12-28
2021-08-27,15157,2021-12-28
2021-08-26,13785,2021-12-28
2021-08-25,11769,2021-12-28
2021-08-24,11899,2021-12-28
2021-08-23,10401,2021-12-28
2021-08-22,10274,2021-12-28
2021-08-21,14564,2021-12-28
2021-08-20,13613,2021-12-28
2021-08-19,14716,2021-12-28
2021-08-18,12359,2021-12-28
2021-08-17,14317,2021-12-28
2021-08-16,9748,2021-12-28
2021-08-15,11437,2021-12-28
2021-08-14,13472,2021-12-28
2021-08-13,14479,2021-12-28
2021-08-12,14099,2021-12-28
2021-08-11,10450,2021-12-28
2021-08-10,9925,2021-12-28
2021-08-09,9625,2021-12-28
2021-08-08,10425,2021-12-28
2021-08-07,13271,2021-12-28
2021-08-06,12916,2021-12-28
2021-08-05,14402,2021-12-28
2021-08-04,9517,2021-12-28
2021-08-03,8552,2021-12-28
2021-08-02,7318,2021-12-28
2021-08-01,33407,2021-12-28
2021-07-31,0,2021-12-28
2021-07-30,0,2021-12-28
2021-07-29,10356,2021-12-28
2021-07-28,7457,2021-12-28
2021-07-27,6849,2021-12-28
2021-07-26,7731,2021-12-28
2021-07-25,21940,2021-12-28
2021-07-24,0,2021-12-28
2021-07-23,0,2021-12-28
2021-07-22,7984,2021-12-28
2021-07-21,5577,2021-12-28
2021-07-20,5285,2021-12-28
2021-07-19,4723,2021-12-28
2021-07-18,14097,2021-12-28
2021-07-17,0,2021-12-28
2021-07-16,0,2021-12-28
2021-07-15,4651,2021-12-28
2021-07-14,3622,2021-12-28
2021-07-13,3093,2021-12-28
2021-07-12,3256,2021-12-28
2021-07-11,8910,2021-12-28
2021-07-10,0,2021-12-28
2021-07-09,0,2021-12-28
2021-07-08,2411,2021-12-28
2021-07-07,1416,2021-12-28
2021-07-06,1332,2021-12-28
2021-07-05,5730,2021-12-28
2021-07-04,0,2021-12-28
2021-07-03,0,2021-12-28
2021-07-02,0,2021-12-28
2021-07-01,1792,2021-12-28
2021-06-30,1698,2021-12-28
2021-06-29,-4359,2021-12-28
2021-06-28,762,2021-12-28
2021-06-27,1256,2021-12-28
2021-06-26,2251,2021-12-28
2021-06-25,1683,2021-12-28
2021-06-24,2015,2021-12-28
2021-06-23,1419,2021-12-28
2021-06-22,787,2021-12-28
2021-06-21,635,2021-12-28
2021-06-20,1123,2021-12-28
2021-06-19,956,2021-12-28
2021-06-18,1176,2021-12-28
2021-06-17,1295,2021-12-28
2021-06-16,829,2021-12-28
2021-06-15,699,2021-12-28
2021-06-14,628,2021-12-28
2021-06-13,827,2021-12-28
2021-06-12,942,2021-12-28
2021-06-11,1032,2021-12-28
2021-06-10,1136,2021-12-28
2021-06-09,856,2021-12-28
2021-06-08,846,2021-12-28
2021-06-07,792,2021-12-28
2021-06-06,874,2021-12-28
2021-06-05,1101,2021-12-28
2021-06-04,1157,2021-12-28
2021-06-03,1047,2021-12-28
2021-06-02,773,2021-12-28
2021-06-01,461,2021-12-28
2021-05-31,423,2021-12-28
2021-05-30,644,2021-12-28
2021-05-29,1079,2021-12-28
2021-05-28,1210,2021-12-28
2021-05-27,4864,2021-12-28
2021-05-26,1418,2021-12-28
2021-05-25,1155,2021-12-28
2021-05-24,618,2021-12-28
2021-05-23,1081,2021-12-28
2021-05-22,1308,2021-12-28
2021-05-21,1186,2021-12-28
2021-05-20,1627,2021-12-28
2021-05-19,1292,2021-12-28
2021-05-18,959,2021-12-28
2021-05-17,687,2021-12-28
2021-05-16,995,2021-12-28
2021-05-15,1370,2021-12-28
2021-05-14,1864,2021-12-28
2021-05-13,2034,2021-12-28
2021-05-12,1443,2021-12-28
2021-05-11,1231,2021-12-28
2021-05-10,1045,2021-12-28
2021-05-09,1377,2021-12-28
2021-05-08,1853,2021-12-28
2021-05-07,1945,2021-12-28
2021-05-06,2471,2021-12-28
2021-05-05,1547,2021-12-28
2021-05-04,1388,2021-12-28
2021-05-03,1349,2021-12-28
2021-05-02,1512,2021-12-28
2021-05-01,2254,2021-12-28
2021-04-30,2094,2021-12-28
2021-04-29,1897,2021-12-28
2021-04-28,1457,2021-12-28
2021-04-27,1593,2021-12-28
2021-04-26,1445,2021-12-28
2021-04-25,2116,2021-12-28
2021-04-24,1739,2021-12-28
2021-04-23,1229,2021-12-28
2021-04-22,1818,2021-12-28
2021-04-21,2411,2021-12-28
2021-04-20,2126,2021-12-28
2021-04-19,1606,2021-12-28
2021-04-18,1916,2021-12-28
2021-04-17,2667,2021-12-28
2021-04-16,2763,2021-12-28
2021-04-15,2451,2021-12-28
2021-04-14,2016,2021-12-28
2021-04-13,2487,2021-12-28
2021-04-12,1568,2021-12-28
2021-04-11,2649,2021-12-28
2021-04-10,4954,2021-12-28
2021-04-09,4466,2021-12-28
2021-04-08,2606,2021-12-28
2021-04-07,2093,2021-12-28
2021-04-06,2229,2021-12-28
2021-04-05,1367,2021-12-28
2021-04-04,2112,2021-12-28
2021-04-03,2400,2021-12-28
2021-04-02,4877,2021-12-28
2021-04-01,2414,2021-12-28
2021-03-31,2234,2021-12-28
2021-03-30,1962,2021-12-28
2021-03-29,1996,2021-12-28
2021-03-28,2277,2021-12-28
2021-03-27,2998,2021-12-28
2021-03-26,3278,2021-12-28
2021-03-25,2608,2021-12-28
2021-03-24,2251,2021-12-28
2021-03-23,1955,2021-12-28
2021-03-22,1823,2021-12-28
2021-03-21,2000,2021-12-28
2021-03-20,3350,2021-12-28
2021-03-19,3107,2021-12-28
2021-03-18,3287,2021-12-28
2021-03-17,3038,2021-12-28
2021-03-16,2441,2021-12-28
2021-03-15,1260,2021-12-28
2021-03-14,2460,2021-12-28
2021-03-13,2772,2021-12-28
2021-03-12,3230,2021-12-28
2021-03-11,3471,2021-12-28
2021-03-10,3184,2021-12-28
2021-03-09,6412,2021-12-28
2021-03-08,2614,2021-12-28
2021-03-07,3258,2021-12-28
2021-03-06,3816,2021-12-28
2021-03-05,4452,2021-12-28
2021-03-04,4659,2021-12-28
2021-03-03,3504,2021-12-28
2021-03-02,3352,2021-12-28
2021-03-01,2533,2021-12-28
2021-02-28,3516,2021-12-28
2021-02-27,4685,2021-12-28
2021-02-26,5151,2021-12-28
2021-02-25,5400,2021-12-28
2021-02-24,4965,2021-12-28
2021-02-23,5303,2021-12-28
2021-02-22,3447,2021-12-28
2021-02-21,4665,2021-12-28
2021-02-20,6760,2021-12-28
2021-02-19,6668,2021-12-28
2021-02-18,6798,2021-12-28
2021-02-17,5573,2021-12-28
2021-02-16,4090,2021-12-28
2021-02-15,5692,2021-12-28
2021-02-14,6487,2021-12-28
2021-02-13,8842,2021-12-28
2021-02-12,9421,2021-12-28
2021-02-11,10059,2021-12-28
2021-02-10,8575,2021-12-28
2021-02-09,8390,2021-12-28
2021-02-08,8251,2021-12-28
2021-02-07,10414,2021-12-28
2021-02-06,15064,2021-12-28
2021-02-05,12394,2021-12-28
2021-02-04,14021,2021-12-28
2021-02-03,13176,2021-12-28
2021-02-02,10501,2021-12-28
2021-02-01,12064,2021-12-28
2021-01-31,15358,2021-12-28
2021-01-30,18974,2021-12-28
2021-01-29,18427,2021-12-28
2021-01-28,19337,2021-12-28
2021-01-27,16696,2021-12-28
2021-01-26,16728,2021-12-28
2021-01-25,17028,2021-12-28
2021-01-24,27007,2021-12-28
2021-01-23,24111,2021-12-28
2021-01-22,22972,2021-12-28
2021-01-21,23024,2021-12-28
2021-01-20,19673,2021-12-28
2021-01-19,22403,2021-12-28
2021-01-18,23794,2021-12-28
2021-01-17,30699,2021-12-28
2021-01-16,42229,2021-12-28
2021-01-15,40622,2021-12-28
2021-01-14,42655,2021-12-28
2021-01-13,35930,2021-12-28
2021-01-12,33751,2021-12-28
2021-01-11,36487,2021-12-28
2021-01-10,39839,2021-12-28
2021-01-09,49685,2021-12-28
2021-01-08,52636,2021-12-28
2021-01-07,50030,2021-12-28
2021-01-06,36385,2021-12-28
2021-01-05,29892,2021-12-28
2021-01-04,42631,2021-12-28
2021-01-03,18442,2021-12-28
2021-01-02,45352,2021-12-28
2021-01-01,53341,2021-12-28
2020-12-31,61016,2021-12-28
2020-12-30,13410,2021-12-28
2020-12-29,30921,2021-12-28
2020-12-28,31245,2021-12-28
2020-12-27,33170,2021-12-28
2020-12-26,50141,2021-12-28
2020-12-25,30375,2021-12-28
2020-12-24,44175,2021-12-28
2020-12-23,34039,2021-12-28
2020-12-22,39069,2021-12-28
2020-12-21,32659,2021-12-28
2020-12-20,37892,2021-12-28
2020-12-19,46474,2021-12-28
2020-12-18,43608,2021-12-28
2020-12-17,41012,2021-12-28
2020-12-16,52281,2021-12-28
2020-12-15,53711,2021-12-28
2020-12-14,32326,2021-12-28
2020-12-13,33278,2021-12-28
2020-12-12,30334,2021-12-28
2020-12-11,35729,2021-12-28
2020-12-10,35468,2021-12-28
2020-12-09,29677,2021-12-28
2020-12-08,30851,2021-12-28
2020-12-07,23272,2021-12-28
2020-12-06,24735,2021-12-28
2020-12-05,30075,2021-12-28
2020-12-04,25068,2021-12-28
2020-12-03,22018,2021-12-28
2020-12-02,18588,2021-12-28
2020-12-01,20762,2021-12-28
2020-11-30,12221,2021-12-28
2020-11-29,14034,2021-12-28
2020-11-28,15614,2021-12-28
2020-11-27,11996,2021-12-28
2020-11-26,12635,2021-12-28
2020-11-25,14640,2021-12-28
2020-11-24,18350,2021-12-28
2020-11-23,15329,2021-12-28
2020-11-22,8337,2021-12-28
2020-11-21,14319,2021-12-28
2020-11-20,15442,2021-12-28
2020-11-19,13005,2021-12-28
2020-11-18,11478,2021-12-28
2020-11-17,9811,2021-12-28
2020-11-16,8743,2021-12-28
2020-11-15,9890,2021-12-28
2020-11-14,10968,2021-12-28
2020-11-13,9875,2021-12-28
2020-11-12,6893,2021-12-28
2020-11-11,6927,2021-12-28
2020-11-10,7464,2021-12-28
2020-11-09,5367,2021-12-28
2020-11-08,5351,2021-12-28
2020-11-07,9543,2021-12-28
2020-11-06,5863,2021-12-28
2020-11-05,6518,2021-12-28
2020-11-04,4566,2021-12-28
2020-11-03,5338,2021-12-28
2020-11-02,4044,2021-12-28
2020-11-01,4094,2021-12-28
2020-10-31,4529,2021-12-28
2020-10-30,5087,2021-12-28
2020-10-29,4014,2021-12-28
2020-10-28,4191,2021-12-28
2020-10-27,4515,2021-12-28
2020-10-26,3188,2021-12-28
2020-10-25,2981,2021-12-28
2020-10-24,5219,2021-12-28
2020-10-23,5945,2021-12-28
2020-10-22,6141,2021-12-28
2020-10-21,2940,2021-12-28
2020-10-20,3707,2021-12-28
2020-10-19,3286,2021-12-28
2020-10-18,3474,2021-12-28
2020-10-17,2862,2021-12-28
2020-10-16,2979,2021-12-28
2020-10-15,3075,2021-12-28
2020-10-14,3329,2021-12-28
2020-10-13,2666,2021-12-28
2020-10-12,2378,2021-12-28
2020-10-11,3449,2021-12-28
2020-10-10,3803,2021-12-28
2020-10-09,4170,2021-12-28
2020-10-08,3806,2021-12-28
2020-10-07,3575,2021-12-28
2020-10-06,2764,2021-12-28
2020-10-05,1677,2021-12-28
2020-10-04,3055,2021-12-28
2020-10-03,4293,2021-12-28
2020-10-02,2159,2021-12-28
2020-10-01,3590,2021-12-28
2020-09-30,3062,2021-12-28
2020-09-29,3200,2021-12-28
2020-09-28,2162,2021-12-28
2020-09-27,2955,2021-12-28
2020-09-26,4071,2021-12-28
2020-09-25,4197,2021-12-28
2020-09-24,3400,2021-12-28
2020-09-23,3170,2021-12-28
2020-09-22,3146,2021-12-28
2020-09-21,2630,2021-12-28
2020-09-20,3294,2021-12-28
2020-09-19,4265,2021-12-28
2020-09-18,4304,2021-12-28
2020-09-17,3630,2021-12-28
2020-09-16,3238,2021-12-28
2020-09-15,2950,2021-12-28
2020-09-14,2235,2021-12-28
2020-09-13,2855,2021-12-28
2020-09-12,4625,2021-12-28
2020-09-11,4107,2021-12-28
2020-09-10,3326,2021-12-28
2020-09-09,3338,2021-12-28
2020-09-08,1616,2021-12-28
2020-09-07,2676,2021-12-28
2020-09-06,3091,2021-12-28
2020-09-05,4905,2021-12-28
2020-09-04,4956,2021-12-28
2020-09-03,5106,2021-12-28
2020-09-02,5125,2021-12-28
2020-09-01,4255,2021-12-28
2020-08-31,3712,2021-12-28
2020-08-30,4176,2021-12-28
2020-08-29,6070,2021-12-28
2020-08-28,4981,2021-12-28
2020-08-27,5329,2021-12-28
2020-08-26,4430,2021-12-28
2020-08-25,6004,2021-12-28
2020-08-24,4480,2021-12-28
2020-08-23,4946,2021-12-28
2020-08-22,6777,2021-12-28
2020-08-21,6556,2021-12-28
2020-08-20,5585,2021-12-28
2020-08-19,5920,2021-12-28
2020-08-18,6164,2021-12-28
2020-08-17,4636,2021-12-28
2020-08-16,6469,2021-12-28
2020-08-15,7873,2021-12-28
2020-08-14,12614,2021-12-28
2020-08-13,7934,2021-12-28
2020-08-12,7085,2021-12-28
2020-08-11,11645,2021-12-28
2020-08-10,12500,2021-12-28
2020-08-09,7751,2021-12-28
2020-08-08,8373,2021-12-28
2020-08-07,7371,2021-12-28
2020-08-06,8436,2021-12-28
2020-08-05,5258,2021-12-28
2020-08-04,5295,2021-12-28
2020-08-03,4526,2021-12-28
2020-08-02,5739,2021-12-28
2020-08-01,9032,2021-12-28
2020-07-31,6542,2021-12-28
2020-07-30,8086,2021-12-28
2020-07-29,10197,2021-12-28
2020-07-28,8755,2021-12-28
2020-07-27,6000,2021-12-28
2020-07-26,6891,2021-12-28
2020-07-25,8259,2021-12-28
2020-07-24,10572,2021-12-28
2020-07-23,9212,2021-12-28
2020-07-22,12040,2021-12-28
2020-07-21,12807,2021-12-28
2020-07-20,9231,2021-12-28
2020-07-19,6846,2021-12-28
2020-07-18,9329,2021-12-28
2020-07-17,9199,2021-12-28
2020-07-16,9986,2021-12-28
2020-07-15,8544,2021-12-28
2020-07-14,11187,2021-12-28
2020-07-13,7285,2021-12-28
2020-07-12,8358,2021-12-28
2020-07-11,8460,2021-12-28
2020-07-10,8047,2021-12-28
2020-07-09,7798,2021-12-28
2020-07-08,7031,2021-12-28
2020-07-07,11694,2021-12-28
2020-07-06,6090,2021-12-28
2020-07-05,11529,2021-12-28
2020-07-04,5410,2021-12-28
2020-07-03,6510,2021-12-28
2020-07-02,8040,2021-12-28
2020-07-01,7538,2021-12-28
2020-06-30,9740,2021-12-28
2020-06-29,6367,2021-12-28
2020-06-28,6138,2021-12-28
2020-06-27,3979,2021-12-28
2020-06-26,5972,2021-12-28
2020-06-25,4890,2021-12-28
2020-06-24,5349,2021-12-28
2020-06-23,7149,2021-12-28
2020-06-22,5019,2021-12-28
2020-06-21,4230,2021-12-28
2020-06-20,4515,2021-12-28
2020-06-19,3893,2021-12-28
2020-06-18,4317,2021-12-28
2020-06-17,4084,2021-12-28
2020-06-16,3455,2021-12-28
2020-06-15,2108,2021-12-28
2020-06-14,2597,2021-12-28
2020-06-13,3212,2021-12-28
2020-06-12,3660,2021-12-28
2020-06-11,2702,2021-12-28
2020-06-10,3090,2021-12-28
2020-06-09,2702,2021-12-28
2020-06-08,2170,2021-12-28
2020-06-07,2507,2021-12-28
2020-06-06,2796,2021-12-28
2020-06-05,3115,2021-12-28
2020-06-04,3094,2021-12-28
2020-06-03,2120,2021-12-28
2020-06-02,2377,2021-12-28
2020-06-01,2304,2021-12-28
2020-05-31,2423,2021-12-28
2020-05-30,3705,2021-12-28
2020-05-29,2992,2021-12-28
2020-05-28,2189,2021-12-28
2020-05-27,2717,2021-12-28
2020-05-26,2247,2021-12-28
2020-05-25,2175,2021-12-28
2020-05-24,1848,2021-12-28
2020-05-23,2079,2021-12-28
2020-05-22,2187,2021-12-28
2020-05-21,2247,2021-12-28
2020-05-20,2140,2021-12-28
2020-05-19,2262,2021-12-28
2020-05-18,1365,2021-12-28
2020-05-17,1591,2021-12-28
2020-05-16,2046,2021-12-28
2020-05-15,1857,2021-12-28
2020-05-14,1772,2021-12-28
2020-05-13,7183,2021-12-28
2020-05-12,-3401,2021-12-28
2020-05-11,1443,2021-12-28
2020-05-10,1259,2021-12-28
2020-05-09,2119,2021-12-28
2020-05-08,2049,2021-12-28
2020-05-07,1898,2021-12-28
2020-05-06,1799,2021-12-28
2020-05-05,2603,2021-12-28
2020-05-04,1275,2021-12-28
2020-05-03,1321,2021-12-28
2020-05-02,1419,2021-12-28
2020-05-01,1755,2021-12-28
2020-04-30,1525,2021-12-28
2020-04-29,2417,2021-12-28
2020-04-28,1469,2021-12-28
2020-04-27,1567,2021-12-28
2020-04-26,1300,2021-12-28
2020-04-25,1027,2021-12-28
2020-04-24,1883,2021-12-28
2020-04-23,1885,2021-12-28
2020-04-22,1973,2021-12-28
2020-04-21,2135,2021-12-28
2020-04-20,2283,2021-12-28
2020-04-19,645,2021-12-28
2020-04-18,1370,2021-12-28
2020-04-17,1435,2021-12-28
2020-04-16,1346,2021-12-28
2020-04-15,1758,2021-12-28
2020-04-14,1171,2021-12-28
2020-04-13,905,2021-12-28
2020-04-12,554,2021-12-28
2020-04-11,1179,2021-12-28
2020-04-10,1143,2021-12-28
2020-04-09,1163,2021-12-28
2020-04-08,1352,2021-12-28
2020-04-07,1092,2021-12-28
2020-04-06,1529,2021-12-28
2020-04-05,898,2021-12-28
2020-04-04,1412,2021-12-28
2020-04-03,1325,2021-12-28
2020-04-02,1510,2021-12-28
2020-04-01,1036,2021-12-28
2020-03-31,1223,2021-12-28
2020-03-30,1169,2021-12-28
2020-03-29,-4803,2021-12-28
2020-03-28,5923,2021-12-28
2020-03-27,842,2021-12-28
2020-03-26,795,2021-12-28
2020-03-25,471,2021-12-28
2020-03-24,580,2021-12-28
2020-03-23,222,2021-12-28
2020-03-22,265,2021-12-28
2020-03-21,244,2021-12-28
2020-03-20,218,2021-12-28
2020-03-19,331,2021-12-28
2020-03-18,165,2021-12-28
2020-03-17,38,2021-12-28
2020-03-16,80,2021-12-28
2020-03-15,57,2021-12-28
2020-03-14,47,2021-12-28
2020-03-13,41,2021-12-28
2020-03-12,49,2021-12-28
2020-03-11,21,2021-12-28
2020-03-10,20,2021-12-28
2020-03-09,24,2021-12-28
2020-03-08,19,2021-12-28
2020-03-07,26,2021-12-28
2020-03-06,19,2021-12-28
2020-03-05,9,2021-12-28
2020-03-04,7,2021-12-28
2020-03-03,10,2021-12-28
2020-03-02,4,2021-12-28
2020-03-01,5,2021-12-28
